target,lead,scenario,set,model,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
alk,2,lab_known,ABCD,hgb,631,2.0591097450462708,1.8358065673654804,2.3041669665533013,2.8194415849952574,2.0431854199683044,-0.007793871727125756,-0.06272814948095497,0.05207214370921353,0.2575210444758354,0.7968606624102795
alk,2,lab_blind,BCD,ridge,631,6.543792938462283,5.167334900718766,8.20743363710382,9.13317639371738,2.0431854199683044,-2.2027406198717863,-3.077044279288545,-1.4700737846097542,5.876653600506988,6.78610642624444e-09
alk,2,lab_blind,BCD,rf,631,6.311700796229002,5.395427873725704,7.373708080533431,7.874530398166339,2.0431854199683044,-2.0891473355986037,-2.670318867061466,-1.5986609518643757,8.593084119958192,6.664625874406219e-17
alk,2,lab_blind,BCD,hgb,631,5.339481290714741,4.6226383348473945,6.233845031489828,6.633322679377381,2.0431854199683044,-1.613312153919722,-2.045149007884776,-1.256606243081441,8.605680821183995,6.04115628332479e-17
alk,3,lab_known,ABCD,ridge,629,2.8073848881914656,2.400420356528278,3.278724915978322,3.762947517427216,2.504213036565978,-0.12106472061227924,-0.26794097345632406,0.008656685267507106,1.8009277744659484,0.07219389392995092
alk,3,lab_known,ABCD,rf,629,2.5680000628759054,2.248388575102816,2.950939066373206,3.4640639889288387,2.504213036565978,-0.02547188493092367,-0.08801526955061129,0.043224674346489626,0.7454931440731466,0.45625257912033984
alk,3,lab_known,ABCD,hgb,629,2.3902236467500284,2.107219345491453,2.7231493432922123,3.2636268523905905,2.504213036565978,0.04551904656333183,-0.009309725271107249,0.10635088359415043,-1.4893010773540971,0.1369101152705803
alk,3,lab_blind,BCD,ridge,629,6.226782678592708,4.986381646653581,7.701651969062658,8.566048431949504,2.504213036565978,-1.4865227469350941,-2.168808930925383,-0.9353450363371685,5.373529694388147,1.0893693569407394e-07
alk,3,lab_blind,BCD,rf,629,6.241477094140954,5.319780048988681,7.411679219365539,7.875827943111774,2.504213036565978,-1.4923906245212586,-1.9866424119759893,-1.0965632081015149,7.316393383476111,7.809311780945416e-13
alk,3,lab_blind,BCD,hgb,629,5.199524273256792,4.463802336623096,6.116455957665003,6.612990684574488,2.504213036565978,-1.0763106801755526,-1.433591625536451,-0.7483939887713845,6.945473415092199,9.447615946826036e-12
